Location,Startup, Lat, Ln
Matzingen,1960.0,47.5195701,8.934054999999997
Grindelwald,1960.0,46.624164,8.0413962
Ardon,1960.0,46.2097412,7.257228599999999
"Underi-Furen, Innertkirchen",1961.0,,
Göschenen,1961.0,,
Göschenen,1962.0,,
Göschenen,1969.0,,
Rütiberg / Näfels,1961.0,,
Rütiberg / Näfels,1977.0,,
Stafel,1961.0,46.0058456,7.6860887
Soazza,1961.0,46.36493489999999,9.2243119
"Grimentz-Lona, Val de Moiry",1961.0,,
Wollerau,1961.0,47.19717,8.713379999999999
"Sils, Nisellas",1961.0,,
Andermatt,1961.0,46.633911600000005,8.5935627
Ausserferrera,1962.0,46.5571049,9.4392882
Ausserferrera,1963.0,46.5571049,9.4392882
"Bisisthal, Sahli",1962.0,,
"Bisisthal, Sahli",1970.0,,
"Mesocco, Spina",1962.0,,
"Mesocco, Spina",1963.0,,
Bondo,1962.0,46.3353876,9.5541649
Domat-Ems,1962.0,46.8336355,9.4473545
Simmenfluh (Wimmis),1962.0,46.6793,7.620889999999998
Unterschächen,1962.0,,
Unterschächen,1996.0,,
Andeer,1962.0,46.6034023,9.4263657
Andeer,1968.0,46.6034023,9.4263657
Olivone,1962.0,46.533333,8.95
"Niederried, Radelfingen",1963.0,,
Arolla,1963.0,46.0233657,7.481790500000002
"Monthey, Les Nants",1963.0,,
Murtaira,1963.0,46.818188,8.227511999999999
L'Hospitalet,1963.0,41.3661865,2.1164942000000004
Ghirone,1963.0,46.57018,8.94309
Sagogn,1963.0,46.7923608,9.25738
"Linthal, Tierfehd",1964.0,,
"Linthal, Tierfehd",2010.0,,
Ferpècle,1964.0,,
"Fionnay, Mauvoisin",1964.0,,
Schiffenen,1964.0,46.850486100000005,7.158170699999999
"Linthal, Ochsenstafel",1965.0,,
"Linthal, Ochsenstafel",2016.0,,
Z'Mutt,1965.0,46.0064719,7.717241500000001
Gordola,1965.0,46.1809063,8.8608089
Stalden,1965.0,46.2331036,7.870670499999999
Rappental,1965.0,46.818188,8.227511999999999
"Grono, Oltra",1965.0,,
Neubrigg,1965.0,46.818188,8.227511999999999
Giétroz du Fond,1965.0,,
San Carlo,1966.0,46.4103,8.52587
Barrage de Kembs,1966.0,47.7098922,7.503172800000001
Barrage de Kembs,2016.0,47.7098922,7.503172800000001
"Saas Almagell, Zermeiggern",1966.0,,
"Saas Almagell, Zermeiggern",1987.0,,
Personico,1966.0,46.3711388,8.9187102
Innergsteig,1966.0,46.3793924,7.274475099999999
Engelberg,1966.0,46.8200266,8.4069918
Engelberg,1967.0,46.8200266,8.4069918
Bad Säckingen,1966.0,,
Unterbäch,1966.0,,
Unterbäch,2010.0,,
Hopflauenen,1967.0,46.71429999999999,8.27834
"Someo, Giumaglio",1967.0,,
"Ulrichen, Altstafel",1967.0,,
Filisur,1967.0,46.67341529999999,9.686377
Aarberg,1968.0,47.042055299999994,7.2751012
Robiei,1968.0,46.4458342,8.5162558
Thusis,1968.0,46.6960141,9.439494
Zernez,1969.0,46.7004905,10.094908300000002
Zernez,1970.0,46.7004905,10.094908300000002
"Heiligkreuz, Längtal",1969.0,,
Litzirüti,1969.0,,
